,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,tolls_amount,fare_amount,total_amount
52,2010-02-04 02:02:26 UTC,-73.970599,40.758571,-73.989678,40.701922,1,6.5,0.0,15.7,16.7
53,2009-09-25 03:47:00 UTC,-74.006012,40.740407,-73.92435,40.74406,5,8.0,0.0,22.5,23.0
54,2009-04-26 00:13:45 UTC,-74.007455,40.740997,-73.922009,40.76342,2,10.7,5.0,40.5,52.0
55,2009-01-16 01:27:37 UTC,-73.999233,40.708216,-73.998369,40.708579,1,4.9,0.0,16.6,16.6
56,2013-04-18 08:48:00 UTC,-73.962412,40.776392,-74.01147,40.703422,1,7.48,0.0,30.0,39.5
57,2011-03-19 03:32:00 UTC,-73.88966,40.747078,-73.982978,40.7634,1,5.6,0.0,16.1,17.1
58,2012-02-21 11:53:00 UTC,-73.86278,40.769055,-74.000443,40.757547,1,10.06,4.8,31.3,42.86
59,2009-03-08 08:51:42 UTC,-73.777129,40.64505,-73.94436,40.662902,1,15.4,0.0,38.9,38.9
60,2014-02-24 18:22:00 UTC,-73.863682,40.76999,-73.98097,40.780902,5,10.53,5.33,31.5,47.79
61,2012-12-16 20:38:58 UTC,-73.995544,40.724833,-73.931594,40.858905,2,12.4,0.0,37.5,38.5
62,2011-10-05 08:14:00 UTC,-74.008145,40.714857,-73.9665,40.754078,5,4.89,0.0,16.9,18.9
63,2015-03-07 16:35:02 UTC,-73.86591339111328,40.77090072631836,-74.00617980957031,40.70876693725586,1,16.0,5.33,43.5,49.63
64,2012-02-21 11:53:00 UTC,-73.985572,40.738542,-73.985792,40.73868,1,0.0,0.0,2.9,3.4
65,2009-03-28 20:30:35 UTC,-73.993272,40.72771,-73.966134,40.756785,1,2.6,0.0,10.2,10.2
66,2009-03-20 20:27:04 UTC,-73.973868,40.757717,-73.981392,40.773311,1,1.5,0.0,7.4,7.4
67,2014-05-20 23:09:00 UTC,-73.873527,40.773922,-73.944947,40.828902,5,8.35,5.33,25.0,36.33
68,2011-10-05 08:14:00 UTC,-73.863455,40.76996,-74.004592,40.724388,1,10.67,0.0,28.9,35.18
69,2014-05-17 15:15:00 UTC,-73.989893,40.718122,-73.992705,40.752987,5,3.4,0.0,23.0,30.4
70,2015-01-02 21:29:38 UTC,-73.78362274169922,40.648738861083984,-73.99567413330078,40.69981384277344,2,19.1,0.0,50.5,51.8
71,2011-01-09 17:05:17 UTC,-73.870565,40.773802,-73.964864,40.754155,1,10.0,0.0,23.7,24.2
72,2013-09-06 21:47:28 UTC,-74.005569,40.740666,-73.998841,40.68077,2,6.1,5.33,22.0,33.99
73,2012-10-20 06:25:00 UTC,-73.976482,40.744992,-74.02142,40.618532,1,12.73,0.0,36.0,36.5
74,2009-06-07 01:30:33 UTC,-73.992226,40.750003,-73.838413,40.720982,1,10.2,4.15,24.1,32.56
75,2013-05-18 21:51:49 UTC,-73.990415,40.731108,-73.949996,40.784165,2,4.3,0.0,17.5,20.5
76,2015-03-29 20:53:25 UTC,-73.87164306640625,40.77409362792969,-73.7763442993164,40.64540100097656,1,12.36,0.0,37.0,38.3
77,2012-03-04 00:57:00 UTC,-73.988922,40.692162,-73.950427,40.781875,1,7.35,0.0,23.7,24.7
78,2013-04-18 08:48:00 UTC,-73.97299,40.756782,-73.999,40.713687,1,5.17,0.0,23.5,28.7
79,2014-08-07 09:34:54 UTC,-73.951438,40.825149,-73.994378,40.759173,1,5.7,0.0,19.0,24.37
80,2011-06-17 07:07:03 UTC,-73.7835,40.6486,-73.8948,40.6384,1,8.5,0.0,20.1,20.6
81,2014-07-25 20:07:41 UTC,-73.862819,40.769091,-73.949087,40.781795,1,8.3,5.33,23.5,35.33
82,2009-02-05 02:09:14 UTC,-74.004134,40.737515,-73.99972,40.72168,4,1.7,0.0,7.8,7.8
83,2009-09-22 11:54:49 UTC,-74.008178,40.730436,-73.977249,40.749571,1,2.7,0.0,14.9,17.13
84,2012-03-04 00:57:00 UTC,-73.961102,40.718942,-73.996367,40.721632,1,3.07,0.0,15.3,19.46
85,2013-12-09 15:03:00 UTC,-73.961692,40.77394,-73.870435,40.773595,1,8.71,5.33,25.5,37.5
86,2013-12-21 06:21:00 UTC,-73.956062,40.776047,-73.872855,40.774297,1,8.33,5.33,24.0,37.16
87,2014-07-19 03:52:21 UTC,-73.985747,40.768016,-73.906501,40.697558,1,8.7,0.0,29.5,36.6
88,2010-12-21 13:08:00 UTC,-73.973017,40.785158,-73.97297,40.748717,5,3.37,0.0,14.9,16.4
89,2014-04-23 19:02:56 UTC,-73.996365,40.733066,-73.856803,40.719865,1,10.2,5.33,34.5,41.33
90,2010-12-21 13:08:00 UTC,-73.976613,40.78839,-73.978805,40.785675,1,0.22,0.0,2.9,3.4
91,2013-12-06 14:55:00 UTC,-73.983595,40.749355,-74.18248,40.687757,1,16.78,13.75,65.0,78.75
92,2013-07-15 15:39:13 UTC,-73.988736,40.736775,-73.865466,40.770842,1,13.4,5.33,42.5,57.99
93,2009-09-25 03:47:00 UTC,-74.001802,40.750872,-73.917852,40.82538,1,8.92,0.0,22.5,23.0
94,2009-06-27 13:52:42 UTC,-73.983235,40.730127,-73.977583,40.786207,1,5.2,0.0,17.3,17.3
95,2009-11-05 06:47:00 UTC,-73.999672,40.687288,-73.8444,40.725358,1,11.44,0.0,26.1,29.6
96,2012-07-19 06:27:00 UTC,-73.953092,40.780255,-74.007245,40.705827,6,7.74,0.0,18.9,22.4
97,2015-01-02 21:29:38 UTC,-73.9944076538086,40.724891662597656,-73.92222595214844,40.7453498840332,1,6.7,0.0,21.0,22.3
98,2010-05-17 01:48:12 UTC,-73.959955,40.658143,-73.999888,40.745875,1,8.4,0.0,22.5,23.5
99,2014-05-29 13:18:04 UTC,-73.987113,40.752524,-73.954496,40.767238,3,3.2,0.0,21.0,21.5
100,2013-04-18 08:48:00 UTC,-73.97004,40.75277,-74.0106,40.701947,6,5.35,0.0,22.5,27.5
101,2009-01-04 02:02:36 UTC,-73.988356,40.720051,-73.952632,40.716563,2,2.4,0.0,8.6,8.6
102,2011-03-19 03:32:00 UTC,-73.998793,40.744817,-73.986712,40.670283,1,7.37,0.0,20.5,21.5
103,2009-03-20 20:59:24 UTC,-73.972186,40.756628,-73.987824,40.749026,3,1.3,0.0,6.2,6.2
